Date,Clicks,Impressions,CTR,Position
2026-05-05,0,27,0%,11.1
2026-05-06,0,79,0%,15.8
2026-05-07,0,16,0%,27.2
2026-05-08,0,19,0%,5.9
2026-05-09,0,12,0%,3.2
2026-05-10,0,7,0%,3
2026-05-11,1,10,10%,6.1
2026-05-12,0,21,0%,8.6
2026-05-13,0,8,0%,2.4
2026-05-14,1,11,9.09%,11.7
2026-05-15,0,6,0%,37.7
2026-05-16,0,4,0%,10
2026-05-17,0,18,0%,12.7
2026-05-18,0,15,0%,10.7
2026-05-19,1,16,6.25%,12.7
2026-05-20,0,10,0%,5.9
2026-05-21,1,11,9.09%,3.9
2026-05-22,0,14,0%,15.2
2026-05-23,0,8,0%,8.5
2026-05-24,1,12,8.33%,4.2
2026-05-25,0,6,0%,5.5
2026-05-26,0,11,0%,20.5
2026-05-27,0,18,0%,11.6
2026-05-28,0,8,0%,1.8
2026-05-29,0,9,0%,6
2026-05-30,0,9,0%,4.2
2026-05-31,0,1,0%,12
2026-06-01,0,21,0%,10
