Top pages,Clicks,Impressions,CTR,Position
https://www.knightgroup.com/,5,338,1.48%,10.32
https://www.knightgroup.com/about,0,68,0%,8.29
https://www.knightgroup.com/Services/handyman,0,31,0%,12.65
https://www.knightgroup.com/Services/plumbing-services,0,26,0%,21.38
https://www.knightgroup.com/contact,0,22,0%,5.82
https://www.knightgroup.com/booking.html,0,21,0%,14.48
https://www.knightgroup.com/Services/programming&databases,0,17,0%,4.65
https://www.knightgroup.com/Services/general-repairs,0,7,0%,9.29
https://www.knightgroup.com/PolicyPages/privacy-policy,0,2,0%,4
https://www.knightgroup.com/booking,0,1,0%,1
https://www.knightgroup.com/PolicyPages/terms,0,1,0%,5
https://www.knightgroup.com/galleries,0,1,0%,6
https://www.knightgroup.com/PolicyPages/returnpolicy,0,1,0%,9
https://www.knightgroup.com/Services/emergency-services,0,1,0%,11
